name,real_name,ring_names,Stable&Team,height,weight,birth_date,birth_place,billed_from,trainer,finisher
Dragon Lee,??? Muñoz González,Drago | Dragon Lee (II) | Ryu Lee,Latino World Order,171cm,75kg,1995-05-15,"Tala, Jalisco, Mexico",,Alfredo Pineda | Franco Columbo | Pierrothito | Pit Bull IArturo Muñoz,Flying Running Elbow | Styles Clash
Ludwig Kaiser,Marcel Barthel,Axel Dieter Jr | Marcel Barthel | Ludwig Kaiser | El Grande Americano,Los Americanos,191cm,95kg,1991-07-08,"Pinneberg, West Germany","Hamburg, Germany",Axel Dieter | Christian Eckstein | Karsten Kretschmer,La Cabernaria | Headbut
Erik,Raymond Rowe,Erik | Raymond Right | Ray Rowe | Raymond Rowe | Rowe,War Raiders,185cm,112kg,1984-08-21,"Cleveland, Ohio, U.S.","Cleveland, Ohio",Josh Prohibition Lou Marconi | WWE Performance Center,War Machine | Viking Experience
Ethan Page,Julian Micevski,#AllEgo | Chandler Park | Julian Logan | Ethan | Gabriel Owens | Ethan Page | The Karate Man,,188cm,109kg,1989-09-20,"Stoney Creek, Ontario, Canada","Hamilton, Ontario, Canada",Ernie Moore | Michael Elgin | Rip Impact,Ego-Plex
Grayson Waller,Matthew Farrelly,Grayson Waller | Matty Wahlberg,,190cm,91kg,1990-03-21,"Sydney, New South Wales, Australia","Sydney, Australia",Robbie Eagles | Madison Eagles,Roliing Thunder Flatliner
Ivar,Todd James Smith,Hanson | IVar,War Raiders,188cm,138kg,1984-03-03,"Lynn, Massachusetts, U.S.","""Overseas""Reno, Nevada | Lynn, Massachusetts",Killer Kowalski | WWE Performance Center,War Machine | Viking Experience
Jacob Fatu,Jacob Samuel Fatu,Jacob Fatu,Bloodline,185cm,127kg,,"Sacramento, California, U.S.","Samoa | Sacramento, California",Rikishi | Black Pearl | Gangrel | Sinn Bodhi,Mighty Moonsault | Tongan Death Grip
JD McDonagh,Jordan Devlin,Aguila Artois | Aguila II | Frank David | Jordan Devlin | JD McDonagh,Judgement Day,178cm,82kg,1990-03-15,"Wicklow, Ireland","Cincinnati, Ohio",WWE Performance Center | Finn Balor,Devil Inside
Je'Von Evans,Malachi Jeffers,Je'Von Evans | Jay Malachi | Kid Blacka Merica,,188cm,77kg,2004-04-29,"Greensboro, North Carolina, U.S.","Greensboro, North Carolina",FSPW Academy | LaBron Kozone,OG Cutter
Jey Uso,Joshua Samuel Fatu,Jey Uso | Josh Fatu | Joshua Fatu | Jules Uso,Bloodline | The Usos,183cm,103kg,1985-08-22,"San Francisco, California, U.S.","San Francisco, California",Rikishi | Booker TWild Samoan Training Center | Florida Championship Wrestling,Uso Splash | Spear | Sleeper Hold
Jimmy Uso,Jonathan Solofa Fatu,Jimmy Uso,Bloodline | The Usos,187cm,114kg,1985-08-22,"San Francisco, California, U.S.","San Francisco, California",Rikishi | Booker TWild Samoan Training Center | Florida Championship Wrestling,Uso Splash
Joaquin Wilde,Michael Paris,DJZ | DJ Zema | Joaquin Wilde | Michael Montecarlo | Shiima Xion | Zema Ion | Shiima Casanova,Latino World Order,173cm,82kg,1986-10-05,"Los Angeles, California, U.S.","Chicago, Illinois",IWC Iron City Wrestling Academy | WWE Performance Center | Discovery | Skayde, 630 Senton
Joe Hendry,Joe Samuel Hendry,Joseph S. Hendry | Joe Hendry,,185cm,104kg,1988-05-01,"Edinburgh, Scotland","Edinburgh, Scotland",Ace Steel | Killian Dain | Mikey Whiplash | Robbie Brookside | Marty Jones | Terry Taylor,Standing Ovation
Julius creed,Jacob Andrew Kasper,Jacob Kasper | Julius Creed,Creed Brothers,191cm,104kg,1994-10-03,"West Virginia, U.S.","Cincinnati, Ohio",WWE Performance Center,Sliding Lariat
LA Knight,Shaun Edward Ricker,Deuce | Dick Rick | Dick Rick Leykis | El Hijo de Trump | Eli Drake | LA Knight | Max Dupri | Shaun Ricker | Slate Randall,,185cm,106kg,1982-11-01,"California, U.S.","Baltimore, Maryland | Hagerstown, Maryland | Los Angeles, California",Cody Hawk,BFT
Logan Paul, Logan Alexander Paul,Logan Paul,The Vision,188cm,86kg,1995-04-01,"Westlake, Ohio, U.S.","Westlake, Ohio",,Frog Splash | One Lucky Punch | Brass Knuckle Shot
Montez Ford,Kenneth Crawford,Kenneth Crawford | Montez Ford,Street Profits,183cm,105kg,1990-05-31,"Chicago, Illinois, U.S.","Chicago, Illinois",WWE Performance Center,Frog Splash
Oba Femi,Isaac Odugbesan,Oba Femi,,193cm,140kg,1998-04-22,"Lagos, Nigeria","Lagos, Nigeria",WWE Performance Center,Fall From Grace
Otis,Nikola Bogojevic,Niko Bogojevic | Dozer | Otis Dozovic | Otis | Otìsè,Alpha Academy,178cm,150kg,1991-12-21,"Duluth, Minnesota, U.S.","Superior, Wisconsin",Mercury Pro Wrestling Academy | WWE Performance Center,Caterpillar | Dozer Bomb | Diving Splash
